PLAYER,SCORE,STGAIND
Harold Varner III,70.1,0.227
Ryan Armour,70.11,0.19
Matt Jones,70.11,0.628
Peter Malnati,70.12,0.379
Daniel Berger,70.14,0.28
Jordan Spieth,70.15,0.459
Michael Thompson,70.15,0.426
Louis Oosthuizen,70.16,0.777
Brandt Snedeker,70.16,0.962
Corey Conners,70.17,0.62
J.J. Spaun,70.17,0.03
Nick Watney,70.17,0.133
Adam Svensson,70.18,0.38
Jhonattan Vegas,70.19,0.626
Si Woo Kim,70.2,0.134
Hank Lebioda,70.2,0.167
Ryan Moore,70.2,0.826
Byeong Hun An,70.22,0.819
Aaron Wise,70.22,0.329
Adam Hadwin,70.23,0.343
Russell Knox,70.25,0.55
Sepp Straka,70.25,0.552
Roberto Castro,70.26,0.009
Billy Horschel,70.26,0.829
Ian Poulter,70.28,0.764
Kevin Streelman,70.28,0.669
Harris English,70.29,0.2
Andrew Putnam,70.29,0.536
Stephan Jaeger,70.3,-0.093
Chase Wright,70.3,0.01
Roberto Díaz,70.31,-0.123
Richy Werenski,70.31,-0.147
Jonas Blixt,70.32,0.122
Brian Stuard,70.32,0.393
Scott Brown,70.33,-0.004
Mackenzie Hughes,70.33,-0.044
Roger Sloan,70.35,0.02
Kevin Tway,70.35,0.143
Carlos Ortiz,70.37,0.125
Bill Haas,70.38,0.153
Fabián Gómez,70.4,-0.159
Henrik Stenson,70.4,0.971
Aaron Baddeley,70.42,0.313
Austin Cook,70.42,-0.319
Joel Dahmen,70.42,0.085
Graeme McDowell,70.42,0.385
Keith Mitchell,70.45,0.254
José de Jesús Rodríguez,70.46,-0.24
Sam Burns,70.47,0.05
Pat Perez,70.47,0.288
Kramer Hickok,70.48,-0.287
Zach Johnson,70.5,0.459
Andrew Landry,70.51,-0.011
Ryan Blaum,70.52,-0.145
Alex Prugh,70.52,-0.066
Jonathan Byrd,70.53,-0.762
Danny Lee,70.53,-0.137
Keegan Bradley,70.54,0.147
Emiliano Grillo,70.56,0.418
C.T. Pan,70.56,0.059
Brian Harman,70.57,0.346
Brian Gay,70.58,-0.278
Trey Mullinax,70.59,-0.172
Cameron Smith,70.59,0.324
Peter Uihlein,70.6,-0.181
Bubba Watson,70.6,0.281
Bronson Burgoon,70.64,-0.344
Brandon Harkins,70.65,-0.389
Beau Hossler,70.67,-0.178
Sung Kang,70.68,0.03
Scott Stallings,70.68,-0.078
Anders Albertson,70.69,-0.52
Tyler Duncan,70.69,-0.758
Max Homa,70.69,0.082
Patrick Rodgers,70.69,0.231
Hudson Swafford,70.7,-0.198
Cameron Champ,70.71,-0.374
Jason Dufner,70.72,-0.015
David Hearn,70.72,-0.615
Kyle Stanley,70.72,-0.013
Sergio Garcia,70.73,0.746
Rafa Cabrera Bello,70.74,0.419
Ben Silverman,70.74,-0.357
Joey Garber,70.75,-0.684
Patton Kizzire,70.76,-0.098
K.H. Lee,70.76,-0.107
Sam Saunders,70.77,-0.365
Robert Streb,70.78,-0.424
Tom Hoge,70.81,-0.246
Kiradech Aphibarnrat,70.82,0.083
Scott Langley,70.84,-0.767
Julián Etulain,70.86,-0.434
Jim Herman,70.88,-0.386
Danny Willett,70.89,0.383
Kevin Na,70.9,0.087
Tyrrell Hatton,70.91,0.489
Sangmoon Bae,70.94,-0.634
Kelly Kraft,70.94,-0.715
Luke List,70.97,0.202
Chris Stroud,70.97,-0.729
Matt Fitzpatrick,71,0.887
Ollie Schniederjans,71,-0.471
Jimmy Walker,71,0.062
Anirban Lahiri,71.01,-0.752
Alex Noren,71.03,-0.269
Chesson Hadley,71.04,-0.128
Hunter Mahan,71.05,-0.774
Jim Knous,71.06,-0.372
Brady Schnell,71.06,-0.763
Kyle Jones,71.09,-0.634
Francesco Molinari,71.09,0.038
Ernie Els,71.1,-0.527
Adam Long,71.11,-0.418
Phil Mickelson,71.13,-0.438
Seth Reeves,71.13,-1.439
Curtis Luck,71.14,-1.104
Brendan Steele,71.16,-0.53
Branden Grace,71.18,-0.107
J.B. Holmes,71.18,-0.45
Charley Hoffman,71.21,0.057
Seamus Power,71.24,-0.719
Alex Cejka,71.28,-0.844
John Chin,71.37,-1.555
Freddie Jacobson,71.37,-0.826
Ted Potter Jr.,71.37,-0.944
Cody Gribble,71.45,-1.027
J.J. Henry,71.48,-1.192
Whee Kim,71.51,-1.29
Rod Pampling,71.58,-1.177
Martin Trainer,71.82,-1.431
Satoshi Kodaira,72.08,-1.628
Michael Kim,72.97,-2.135
Dustin Johnson,68.54,2.372
Justin Rose,69.03,1.952
Justin Thomas,69.06,1.835
Webb Simpson,69.25,1.432
Brooks Koepka,69.39,1.22
Rickie Fowler,69.41,1.275
Tommy Fleetwood,69.52,1.606
Rory McIlroy,69.52,1.412
Tony Finau,69.53,1.435
Jordan Spieth,69.53,0.83
Tiger Woods,69.56,1.596
Bryson DeChambeau,69.6,1.558
Jon Rahm,69.65,0.889
Henrik Stenson,69.66,1.153
Jason Day,69.69,1.285
Zach Johnson,69.69,1.035
Billy Horschel,69.76,1.112
Hideki Matsuyama,69.82,1.196
Kevin Na,69.9,0.801
Francesco Molinari,69.91,1.123
Brian Gay,69.92,0.565
Chris Kirk,69.92,0.732
Patrick Cantlay,69.93,1.096
Johnson Wagner,69.94,0.715
Ryan Moore,69.96,0.941
Rafa Cabrera Bello,69.97,1.112
Jason Kokrak,69.97,0.539
Emiliano Grillo,69.98,1.133
Paul Casey,70.04,0.966
Joel Dahmen,70.04,0.4
Phil Mickelson,70.06,0.931
C.T. Pan,70.06,0.478
Cameron Percy,70.06,0.285
Aaron Wise,70.06,0.703
Bubba Watson,70.08,0.555
J.J. Spaun,70.09,0.292
Andrew Putnam,70.1,0.472
Kevin Streelman,70.1,0.619
Chesson Hadley,70.11,0.859
Charles Howell III,70.11,0.801
Austin Cook,70.12,0.569
Blayne Barber,70.13,-0.041
Marc Leishman,70.13,0.624
Sam Ryder,70.15,0.154
Keegan Bradley,70.16,0.793
Brandt Snedeker,70.16,0.625
Chez Reavie,70.19,0.674
Beau Hossler,70.21,0.584
Patrick Reed,70.21,0.947
Gary Woodland,70.21,1.066
Bronson Burgoon,70.22,0.481
Rory Sabbatini,70.22,0.358
Ryan Armour,70.23,0.337
Byeong Hun An,70.26,0.805
Abraham Ancer,70.26,0.32
Stewart Cink,70.26,0.465
Kyle Stanley,70.26,0.686
Keith Mitchell,70.3,-0.018
Vaughn Taylor,70.3,0.219
Luke List,70.31,0.87
Alex Cejka,70.32,0.312
John Huh,70.32,0.251
Matt Kuchar,70.33,0.576
Corey Conners,70.35,0.193
Denny McCarthy,70.35,0.094
Patton Kizzire,70.37,-0.033
Alex Noren,70.37,1.044
Seamus Power,70.38,0.178
Sam Saunders,70.38,0.226
Brandon Harkins,70.4,0.275
Kevin Kisner,70.4,0.037
Martin Laird,70.4,0.47
Tyrrell Hatton,70.41,0.938
J.T. Poston,70.41,0.138
Kevin Tway,70.41,0.329
Russell Knox,70.42,0.383
Xander Schauffele,70.42,0.644
Cameron Smith,70.42,0.219
Daniel Berger,70.43,0.816
Scott Piercy,70.43,0.29
Michael Thompson,70.43,0.052
William McGirt,70.44,0.178
Peter Uihlein,70.45,0.268
Brian Harman,70.46,0.29
Hunter Mahan,70.46,0.209
Peter Malnati,70.46,0.244
Jamie Lovemark,70.47,0.388
James Hahn,70.48,0.279
Louis Oosthuizen,70.48,0.521
Zac Blair,70.5,0.323
Troy Merritt,70.51,0.209
Brett Stegmaier,70.51,0.048
Nick Watney,70.51,0.343
Scott Stallings,70.53,0.27
Ryan Blaum,70.54,-0.033
Ryan Palmer,70.54,-0.231
Branden Grace,70.55,0.812
Adam Hadwin,70.56,0.596
Adam Scott,70.56,0.779
Conrad Shindler,70.57,-0.313
Ben Crane,70.58,0.176
Jim Furyk,70.58,0.412
Fabián Gómez,70.58,-0.106
Russell Henley,70.59,0.541
Nate Lashley,70.6,0.31
Pat Perez,70.6,-0.048
Trey Mullinax,70.61,-0.072
Ian Poulter,70.61,0.85
Ollie Schniederjans,70.61,0.254
Tom Hoge,70.62,0.074
David Hearn,70.63,-0.031
Charley Hoffman,70.64,0.425
Lanto Griffin,70.65,-0.268
David Lingmerth,70.65,-0.007
Matt Jones,70.66,0.104
Anirban Lahiri,70.66,0.104
Danny Lee,70.66,0.058
Shawn Stefani,70.66,0.107
Nicholas Lindheim,70.67,-0.323
Patrick Rodgers,70.67,0.232
Brian Stuard,70.67,0.062
Jonathan Byrd,70.68,-0.266
Brice Garnett,70.69,-0.31
Andrew Landry,70.71,-0.039
Aaron Baddeley,70.74,0.309
J.B. Holmes,70.75,0.549
Tyler Duncan,70.77,0.017
Richy Werenski,70.78,-0.124
Harris English,70.79,-0.184
Nick Taylor,70.81,-0.235
Dominic Bozzelli,70.82,-0.055
Harold Varner III,70.82,0.125
Ricky Barnes,70.83,-0.365
Ben Martin,70.83,-0.001
Kevin Chappell,70.85,0.323
Tom Lovelady,70.85,-0.19
Bill Haas,70.86,0.079
Jimmy Walker,70.86,0.357
Mackenzie Hughes,70.88,-0.014
Stephan Jaeger,70.88,-0.09
Steve Wheatcroft,70.88,-0.339
Ben Silverman,70.9,-0.206
Tyrone Van Aswegen,70.91,-0.323
Robert Garrigus,70.93,-0.213
Ted Potter Jr.,70.93,-0.094
J.J. Henry,70.95,-0.193
Shane Lowry,70.95,0.238
Scott Brown,70.96,-0.661
Brendan Steele,70.96,0.029
Whee Kim,70.99,-0.437
Talor Gooch,71,-0.163
Rob Oppenheim,71.03,-0.542
Adam Schenk,71.04,-0.15
Hudson Swafford,71.04,-0.492
Martin Flores,71.07,-0.567
Xinjun Zhang,71.07,-0.734
Si Woo Kim,71.1,-0.092
Graeme McDowell,71.12,0.697
Kelly Kraft,71.16,-0.32
Chris Stroud,71.16,-0.338
Wesley Bryan,71.19,-0.454
Jhonattan Vegas,71.22,0.03
Bud Cauley,71.23,0.461
Lucas Glover,71.23,0.276
Kiradech Aphibarnrat,71.24,0.511
Sean O'Hair,71.27,-0.233
Roberto Díaz,71.28,-0.833
Chad Campbell,71.29,-0.484
Jason Dufner,71.31,0.011
Billy Hurley III,71.33,-0.702
Ethan Tracy,71.43,-0.813
Matt Atkins,71.46,-1.129
Michael Kim,71.5,-1.003
Derek Fathauer,71.53,-0.807
Martin Piller,71.55,-1.127
Retief Goosen,71.56,-0.497
Jonathan Randolph,71.57,-0.877
Robert Streb,71.64,-0.581
Matt Every,71.72,-1.139
Charl Schwartzel,71.72,-0.195
Sung Kang,71.78,-1.041
Cody Gribble,71.8,-0.819
Cameron Tringale,71.83,-1.019
Jonas Blixt,71.85,-0.547
Grayson Murray,71.89,-0.336
Kyle Thompson,71.98,-1.262
Rod Pampling,72.14,-1.094
Satoshi Kodaira,72.23,-1.832
D.A. Points,72.36,-1.449
Zecheng Dou,72.37,-1.198
Greg Chalmers,72.44,-1.266
Daniel Summerhays,72.47,-2.105
Andrew Yun,72.98,-1.936
Jordan Spieth,68.94,1.924
Justin Thomas,69.39,1.811
Rickie Fowler,69.57,1.987
Dustin Johnson,69.61,1.882
Jon Rahm,69.64,1.778
Marc Leishman,69.66,1.422
Hideki Matsuyama,69.66,1.267
Paul Casey,69.67,1.543
Tony Finau,69.86,1.147
Sergio Garcia,69.92,1.045
Justin Rose,69.92,1.232
Kyle Stanley,69.94,0.951
Webb Simpson,69.96,0.942
Patrick Cantlay,70,1.269
Chez Reavie,70,0.84
Brandt Snedeker,70.02,1.079
Matt Kuchar,70.04,1.173
Chad Campbell,70.05,0.405
Seamus Power,70.06,0.538
Daniel Berger,70.07,0.91
Ian Poulter,70.07,0.936
Luke List,70.08,0.691
Russell Henley,70.09,0.939
Xander Schauffele,70.1,0.881
Charles Howell III,70.11,0.492
Stewart Cink,70.13,1.011
Francesco Molinari,70.13,1.364
Rory McIlroy,70.15,1.078
Lucas Glover,70.16,0.918
Bill Haas,70.18,0.923
Pat Perez,70.24,0.862
Brooks Koepka,70.25,1.204
Keegan Bradley,70.26,0.553
Brian Harman,70.27,0.746
Robert Garrigus,70.28,0.253
Rory Sabbatini,70.28,0.125
Jamie Lovemark,70.29,0.743
Kevin Na,70.29,0.778
Kevin Kisner,70.32,1.043
Bud Cauley,70.33,0.53
Brian Gay,70.33,0.282
Graham DeLaet,70.38,0.768
Phil Mickelson,70.39,1.048
Jason Dufner,70.41,0.653
Jason Day,70.42,0.935
Charley Hoffman,70.43,0.892
Martin Flores,70.44,-0.015
Ollie Schniederjans,70.45,0.383
Andres Gonzales,70.48,0.02
Gary Woodland,70.48,0.659
Ryan Blaum,70.5,0.047
Sung Kang,70.51,0.478
Kevin Tway,70.51,0.433
Michael Kim,70.52,0.247
Trey Mullinax,70.52,0.006
J.T. Poston,70.52,0.031
Hudson Swafford,70.53,0.314
Ryan Armour,70.54,0.107
Martin Laird,70.54,0.829
Tag Ridings,70.54,0.03
Brendan Steele,70.54,0.875
Richy Werenski,70.54,-0.223
Camilo Villegas,70.56,0.218
Brandon Hagy,70.57,0.293
John Huh,70.57,0.099
Matt Jones,70.57,0.278
Adam Scott,70.57,1.006
Shawn Stefani,70.57,-0.043
Tim Wilkinson,70.57,-0.053
Cameron Percy,70.58,-0.082
Sam Saunders,70.59,0.071
Chris Stroud,70.59,0.013
Adam Hadwin,70.62,0.551
Patrick Reed,70.62,0.976
Scott Stallings,70.62,0.02
Nick Taylor,70.63,0.151
Vaughn Taylor,70.63,0.106
Zac Blair,70.65,-0.044
Zach Johnson,70.65,0.631
Robert Streb,70.66,0.078
Anirban Lahiri,70.67,-0.186
J.J. Spaun,70.67,-0.072
S.Y. Noh,70.68,0.186
Nick Watney,70.7,0.171
Russell Knox,70.71,-0.183
Cameron Smith,70.71,0.502
Bryson DeChambeau,70.72,0.19
Ben Martin,70.73,0.163
Louis Oosthuizen,70.74,1.234
Kevin Streelman,70.75,0.169
Scott Brown,70.76,-0.068
Tom Hoge,70.78,-0.274
Whee Kim,70.78,-0.208
Ben Crane,70.8,-0.223
Charl Schwartzel,70.8,0.761
Ryan Brehm,70.82,-0.172
Danny Lee,70.82,0.325
Harris English,70.84,0.038
James Hahn,70.84,0.26
Tyrone Van Aswegen,70.84,-0.217
Harold Varner III,70.84,0.109
Jim Herman,70.85,0.368
Ryan Moore,70.87,0.301
Sean O'Hair,70.87,0.376
David Lingmerth,70.89,0.475
Ricky Barnes,70.9,-0.027
J.J. Henry,70.9,-0.172
David Hearn,70.91,-0.096
Emiliano Grillo,70.92,0.359
Mackenzie Hughes,70.92,0.172
Gonzalo Fernandez-Castaño,70.93,-0.078
Chris Kirk,70.93,-0.228
Peter Malnati,70.93,-0.184
Graeme McDowell,70.93,0.502
Julián Etulain,70.94,-0.307
Morgan Hoffmann,70.94,-0.06
C.T. Pan,70.94,-0.087
Wesley Bryan,70.95,0.002
Scott Piercy,70.97,-0.275
Billy Horschel,70.98,0.004
Cameron Tringale,70.98,-0.14
Geoff Ogilvy,70.99,-0.152
Luke Donald,71,0.047
Kevin Chappell,71.01,0.538
Jhonattan Vegas,71.01,0.093
Mark Anderson,71.02,-0.325
Steven Alker,71.03,-0.412
Troy Merritt,71.04,-0.162
Grayson Murray,71.04,0.064
Branden Grace,71.05,0.271
Blayne Barber,71.06,0.013
Spencer Levin,71.06,-0.4
Michael Thompson,71.07,-0.173
Shane Lowry,71.08,1.015
Boo Weekley,71.08,-0.323
Rafa Cabrera Bello,71.1,0.147
J.B. Holmes,71.12,0.676
Alex Cejka,71.13,-0.452
Retief Goosen,71.13,-0.39
Billy Hurley III,71.13,0.11
Jason Kokrak,71.13,0.052
William McGirt,71.13,-0.098
Sebastián Muñoz,71.14,0.169
K.J. Choi,71.15,-0.264
Jonas Blixt,71.17,-0.341
Fabián Gómez,71.19,-0.407
Jim Furyk,71.2,0.151
Smylie Kaufman,71.2,-0.177
Daniel Summerhays,71.2,0.049
Johnson Wagner,71.21,-0.336
Steve Wheatcroft,71.21,-0.162
Ryan Palmer,71.23,-0.129
Kyle Reifers,71.28,-0.418
Chad Collins,71.29,-0.454
Mark Hubbard,71.31,-0.702
D.A. Points,71.31,-0.406
Dominic Bozzelli,71.32,-0.449
Brian Campbell,71.33,-0.428
Patton Kizzire,71.33,-0.578
Bubba Watson,71.33,0.085
Rick Lamb,71.34,-0.824
Derek Fathauer,71.36,-0.647
Byeong Hun An,71.38,0.589
Jonathan Randolph,71.38,-0.416
Cody Gribble,71.39,-0.524
Aaron Baddeley,71.4,-0.172
Brian Stuard,71.41,-0.469
Patrick Rodgers,71.43,-0.716
Brad Fritsch,71.46,-0.719
Nicholas Lindheim,71.46,-1.285
Ken Duke,71.48,-0.887
Hunter Mahan,71.48,-0.568
Kelly Kraft,71.49,-0.681
Jimmy Walker,71.54,0.273
Brett Drewitt,71.57,-1.035
Bryce Molder,71.57,-0.846
Miguel Angel Carballo,71.6,-1.358
Greg Chalmers,71.61,-0.533
Ryo Ishikawa,71.64,-1.132
Brett Stegmaier,71.68,-1.265
Jason Bohn,71.77,-1.141
Søren Kjeldsen,71.84,-0.182
Roberto Castro,71.94,-0.561
Carl Pettersson,71.98,-1.283
Rod Pampling,71.99,-0.677
Matt Every,72.39,-1.454
Ernie Els,72.4,-0.677
Si Woo Kim,72.51,-0.965
Andrew Loupe,72.73,-1.416
Steven Bowditch,74.22,-2.889
